fecha,ipc_nivel_general,ipc_alimentos_bebidas,ipc_indumentaria_calzado,ipc_equipamiento_hogar,ipc_transporte,ipc_comunicacion,anio,mes,PeriodoID,indice_ipc_acum
2017-01-01,1.3,1.3,-2.1,0.9,1.8,3.8,2017,1,201701,1.013
2017-02-01,2.5,1.8,-0.5,0.3,1.8,4.1,2017,2,201702,1.0383249999999997
2017-03-01,2.4,3.5,4.8,0.9,1.0,2.4,2017,3,201703,1.0632447999999997
2017-04-01,2.6,2.3,5.1,1.0,0.5,6.8,2017,4,201704,1.0908891647999996
2017-05-01,1.3,1.1,0.6,3.0,1.1,0.0,2017,5,201705,1.1050707239423996
2017-06-01,1.4,1.3,0.6,1.4,0.3,1.9,2017,6,201706,1.1205417140775933
2017-07-01,1.7,1.2,-1.8,2.5,1.4,0.5,2017,7,201707,1.1395909232169124
2017-08-01,1.5,2.2,-0.9,1.0,1.1,1.9,2017,8,201708,1.156684787065166
2017-09-01,2.0,1.9,5.9,0.9,0.9,0.9,2017,9,201709,1.1798184828064693
2017-10-01,1.3,1.5,1.6,0.8,0.8,4.8,2017,10,201710,1.1951561230829533
2017-11-01,1.2,1.0,1.1,0.7,2.7,0.6,2017,11,201711,1.2094979965599488
2017-12-01,3.4,0.5,0.7,3.0,2.9,2.3,2017,12,201712,1.2506209284429872
2018-01-01,1.6,2.6,-1.8,1.1,2.1,1.9,2018,1,201801,1.270630863298075
2018-02-01,2.6,2.4,-0.6,1.8,4.5,7.7,2018,2,201802,1.3036672657438249
2018-03-01,2.5,2.0,6.8,4.8,1.3,2.3,2018,3,201803,1.3362589473874205
2018-04-01,2.6,0.8,3.3,1.1,5.3,0.7,2018,4,201804,1.3710016800194935
2018-05-01,1.9,3.7,1.7,2.3,2.0,3.6,2018,5,201805,1.3970507119398639
2018-06-01,3.9,4.7,2.1,3.9,6.5,0.2,2018,6,201806,1.4515356897055185
2018-07-01,2.8,4.0,-0.7,4.3,4.3,0.4,2018,7,201807,1.492178689017273
2018-08-01,4.1,3.5,0.8,3.1,3.3,15.3,2018,8,201808,1.553358015266981
2018-09-01,6.6,7.3,13.1,10.0,10.6,1.4,2018,9,201809,1.6558796442746018
2018-10-01,5.1,6.1,4.9,3.9,7.1,0.2,2018,10,201810,1.7403295061326063
2018-11-01,2.9,3.1,1.7,3.6,3.0,4.6,2018,11,201811,1.7907990618104517
2018-12-01,2.8,1.6,0.4,1.5,3.1,6.7,2018,12,201812,1.8409414355411444
2019-01-01,2.8,3.8,-0.9,2.6,3.3,8.2,2019,1,201901,1.8924877957362964
2019-02-01,3.8,5.5,1.0,2.4,2.6,1.5,2019,2,201902,1.9644023319742758
2019-03-01,4.8,5.8,8.4,4.2,4.3,4.2,2019,3,201903,2.058693643909041
2019-04-01,3.2,2.0,6.2,4.5,3.9,3.3,2019,4,201904,2.1245718405141303
2019-05-01,3.0,2.6,2.5,3.3,2.9,1.2,2019,5,201905,2.188308995729554
2019-06-01,2.6,2.7,1.3,3.3,2.0,7.9,2019,6,201906,2.2452050296185226
2019-07-01,2.1,2.5,0.0,2.3,0.0,0.2,2019,7,201907,2.2923543352405114
2019-08-01,3.9,4.3,3.1,6.3,4.2,1.4,2019,8,201908,2.3817561543148913
